barcode,category
7290112487414,חד פעמי
7290112487421,חד פעמי
7290112487322,חד פעמי
7290112487377,חד פעמי
7290112487476,חד פעמי
7290112480767,חד פעמי
7290112480804,חד פעמי
835811004651,חד פעמי
7290018517017,מוצרי אפיה ובישול
7290118572497,מוצרי אפיה ובישול
7759855540164,מוצרי אפיה ובישול
7290019633228,לבית
0693493056717,מוצרי אפיה ובישול
0693493057080,מוצרי אפיה ובישול
0693493056526,מוצרי אפיה ובישול
0693493057028,מוצרי אפיה ובישול
7290019673699,לבית
7290111664977,לבית
7290118430674,לבית
7290010711727,לבית
8451822151029,מוצרי אפיה ובישול
72901167883888,מוצרי אפיה ובישול
7290020476012,מוצרי נקיון וטיפוח
7290122150018,מוצרי נקיון וטיפוח
5400338127908,לבית
